,Название породы (рус),Название породы (англ),Страна,Продолжительность жизни,Высота,Вес,Длинна шерсти,Цвет,Группа,Цена,Популярность,Тренировка,Размер,Разум,Охрана,Отношения с детьми,Ловкость,Линяние,История,Описание,Личность,Обучение,Уход,Распространенные заболевания,Стрижка,Полезность
0,Австралийская овчарка (Аусси),"Australian Shepherd, Aussie, Little Blue Dog",США,13-15 лет,"Кобели: 51-58 см
Суки:     46-54 см","Кобели: 25-32 кг
Суки:     16-25 кг",Средняя,"мраморно-красный, мраморно-голубой","для детей, сторожевые",500 - 1200 $,8,9,5,9,6,10,8,8,"Несмотря на то, что название породы буквально звучит как австралийская овчарка аусси, на самом деле, порода возникла в Америке. Название звучит именно так, потому что из Австралии привезли предков аусси - шотландских бордер колли. В штатах они были скрещены с некоторыми другими породами, в том числе и естественным образом - посредством свободного скрещивания между соседскими собаками.
Порода собак аусси была завезена в Америку примерно в 1840 годах, и широко использовалась в западных штатах как овчарка для помощи в выпасе скота на осваиваемых просторах. Американские фермеры и поселенцы чрезвычайно ценили их за удивительный ум, огромную преданность и выносливость. Благодаря этим качествам аусси могли переносить все трудности жизни в полудиких условиях, и обеспечить человеку необходимую поддержку.
В годы Второй Мировой войны популяция значительно сократилась, так как аусси нередко использовались в армии США для различных целей, как правило - в спасательных и курьерских миссиях. Однако, затем заводчики довольно быстро восстановили нормальную популяцию этих полезных и добродушных собак.","Собака породы аусси имеет длинную шерсть. Морда вытянутая, голова овальной формы, уши средней длины, треугольные, свисают по бокам головы но из-за шерсти этого порой не замечаешь. Грудная клетка округлая, объемная, конечности короче среднего, телосложение крепкое, мускулистое. Хвост длинный, пушистый.","Порода собак аусси имеет открытый и очень дружелюбный характер, благодаря чему является идеальным компаньоном для человека. Неважно, сколько вам лет - этот питомец буквально сознает себя вашим лучшим другом и точка. Ни больше - ни меньше. Если вы пожилой человек, и нуждаетесь в спутнике который бы смог облегчить повседневный быт, порода аусси будет прекрасным выбором.
Если же у вас большая семья в которой много детей, аусси также прекрасно вольется в вашу повседневную жизнь. Это трудолюбивая порода которая счастлива в альянсе с человеком, когда имеет возможность приносить пользу. Если ни прогулок ни полезных функций нет - собака начнёт скучать, у неё испортится аппетит. Она замечательно относится к детям, имеет высокий уровень интеллекта и отлично понимает обстановку в семье, чувствует эмоциональное состояние хозяев.
Это позволяет собаке буквально угадывать ваши желания, а также разряжать напряжение, которое время от времени появляется в любой семье. Порода собак аусси имеет высокий уровень энергии, это аксиома. А значит, она нуждается в ежедневном выгуливание как минимум в течение часа а если есть возможность, то и дольше. Даже не надейтесь, что сможете избежать этой участи зимой – независимо от времени года, порода аусси должна реализовывать свой энергетический потенциал, иначе это негативно скажется на характере собаки.
Эти питомцы хорошо подходят для жизни на территории частного дома – возможность находиться на свежем воздухе, иметь определённый уровень активности в течение целого дня, а также достаточно густая шерсть позволяют собаке не мёрзнуть даже в зимние морозы. Другое дело, что ожидать от собаки породы аусси выполнения сторожевых и защитных функций наравне, со, скажем, алабаем, не следует.
Дело здесь не только в физических данных, но и в природных склонностях, ведь аусси намного более дружелюбные собаки, в том числе и по отношению к незнакомым людям. Других животных воспринимают нормально, к детям относится прекрасно, чему способствует врождённый инстинкт овчарки, которая следит за своим стадом и готова отдать за него жизнь. Как сторож, который способен поднять тревогу и постарается остановить злоумышленников, собака породы аусси вполне может использоваться. Также, это отличный компаньон для человека любого возраста и семейного положения.","Дрессировать и воспитывать собаку породы аусси легко – этому способствует не только врождённый интеллект, но и инстинктивное желание угодить хозяину. Кроме того, собака нуждается в активности не только для тела, но и для ума, а дрессировка как раз дает необходимую пищу.
Этих питомцев можно обучить даже сложным командам, учитывая специфику их содержания. То есть, иными словами, если собака аусси является компаньоном человека с ограниченными возможностями, вполне разумным будет обучить её командам, которые значительно упростят жизнь хозяину.
Собака может приносить телефон, тапочки, может открывать дверь если она оснащена специальным замком, может подавать различные предметы и использоваться как пёс-поводырь. В процессе обучения достаточно сохранять терпение, чувство юмора, искренность и доброту, и ваш четвероногий друг обязательно ответит вам взаимностью.","Порода собак аусси имеет густую шерсть, которая нуждается в вычесывании 2-3 раза в неделю. Подрезать когти нужно три раза в месяц, купать собаку необходимо один раз в две недели или чаще, по необходимости. Глаза очищают от отложений ежедневно, уши чистят три раза в неделю.","Как и любая другая порода, аусси имеет склонности к определённым заболеванием, к которым относятся:
дисплазия тазобедренного сустава - наследственное заболевание;
дисплазия локтя - это также наследственное заболевание, характерное для собак крупных пород;
эпилепсия - может передаваться по наследству;
глухота довольно распространена в этой породе;
остеохондроз;
прогрессирующая атрофия сетчатки;
катаракта;
аномалия глаза колли - является наследственным заболеванием, которое может привести к слепоте у некоторых собак. Обычно это происходит к 2х летнему возрасту, и ее диагностирует ветеринарный офтальмолог. Для этой аномалии нет лечения, но, как отмечалось выше, слепые собаки могут очень хорошо обходиться, используя другие свои чувства;
аллергия;
чувствительность к определенным видам обезболивающего обычно наблюдается у пастушьих пород, австралийская овчарка и колли - не исключение.",,
1,Австралийский келпи,Kelpi,Австралия,10-13 лет,"Кобели: 46-51 см
Суки:     43-48 см","Кобели: 14-20 кг
Суки:     14-20 кг",короткая,"черный, желтовато-коричневый, черный с рыжими подпалинами, шоколадный","для детей, для охраны",,4,10,5,10,10,6,7,6,"Порода собак австралийский келпи произошла из Австралии, уж простите за очевидность и тавтологию. Это случилось, когда в середине 19 века на континент завезли черных колли, которые скрещивались с различными собаками, а также, по некоторым данным, даже с дикой собакой динго (Dingo), о чем говорит и некоторое внешнее сходство (хотя в 2019 году проводились исследования генома которые установили, что диких динго в роду не было).
То, что получилось от этих скрещиваний, превзошло все ожидания заводчиков, а им требовалась собака, которая могла бы участвовать в выпасе скота, причем, в условиях австралийского жаркого климата. Собственно, нельзя сказать, что разведением породы занимались профессиональные заводчики. В пользу данного утверждения говорит также тот факт, что первая особь (женского пола) была продана в 1872 году шотландцем по имени Джордж Робертсон, Джеку Глисону. И звали собаку как раз Келпи, что впоследствии стало именем для всей породы.
Келпи - это название духа воды из шотландской мифологии. Как вы понимаете, оба этих человека были поселенцами. Собака по имени Келпи уже тогда не походила на традиционных черных колли, а впоследствии изменилась ещё больше вследствие скрещивания, которое, очевидно, было свободным и мало контролируемым. Хотя, целенаправленное скрещивание также имело место.
Так или иначе, со временем возник стандарт породы, который обладал огромным количеством энергии, мог противостоять суровым климатическим условиям Австралии, и находиться на солнце сколь угодно долго, имея выдающуюся выносливость.
В дальнейшем порода Келпи стала популярна далеко за пределами Австралии. Например, в США этих собак очень ценят в жарких Штатах, за ее выдающиеся врождённые качества пастуха, а в Швеции их используют для горноспасательных работ. Сейчас есть 2 разновидности Келпи - выставочный и рабочий. Первых разводят с упором на внешность для выступлений на выставках, а вторых - для выпаса скота. Этих собак также называют австралийская овчарка.","Келпи - это собаки средних размеров, с остроконечными ушами и клинообразной мордой. Грудь высокая, телосложение мускулистое, лапы средней длины, хвост не купируется.","Собака породы келпи обладает мягким и добрым характером, прекрасно подходит в качестве надежного и верного друга, с которым можно отправиться хоть на край света. Их выносливость это то, чем они славятся, они могут целый день ни есть, ни спать, быть на ногах и при этом прекрасно справляется со своими функциями. Будь то охрана скота, совместное путешествие, охрана двора частного дома - келпи везде показывает себя наилучшим образом.
Это действительно друг человека во всех смыслах этого слова. Они обладают прекрасным обонянием, отличным слухом, у них есть специфические, присущие исключительно этой породе навыки пастуха. Развитый интеллект позволяет прекрасно понимать не только речь хозяина, но и его психоэмоциональное состояние, оказывать поддержку в трудную минуту и запоминать команды. Очень независимы и самостоятельны, но не упрямы.
К детям относятся хорошо, проявляя заботу. Они любят играть, и нуждаются в постоянной ежедневной активности, в том числе и умственной. Так как порода Келпи изначально рассчитана на интенсивную деятельность, в условиях городской квартиры хозяину придется всерьез озаботиться этим вопросом. Идеальное место для их содержания, это, конечно же, частный дом с собственным двором.
Между прочим, собака может провести целый день без присутствия хозяина, совершенно не страдая от одиночества. Но, если вы не обеспечиваете вашему питомцу должный уровень активности, и оставите его на целый день в квартире, можете быть уверены, что по приходу вас будет ожидать полный кавардак. Ведь энергию нужно куда-то девать. Также, животное нуждается в социализации и воспитании, так как может подавать голос при любых раздражителях - незнакомцах, сильном шуме во дворе и т.д.","Порода собак келпи генетически обладает прекрасными способностями к охране территории, и ее даже особо не надо этому обучать. Другой вопрос, что их нужно обучать командам, правильному поведению и послушанию, так как по своему характеру это достаточно независимые собаки. Кроме того - с огромным запасом энергии.
Чтобы приучить питомца сдерживать себя, нужно делать это постоянно, на протяжении долгого времени. Тренировки можно начинать уже с 5-6 месяцев. Важно ограничивать переизбыток реакций на раздражители, чтобы собака научилась не реагировать на малейший шорох лаем, а бдительно наблюдала за происходящим, “включаясь” при действительной опасности.
Независимый характер келпи надо уважать - не подавляйте питомца, хвалите его за успехи, и уважайте его. Это очень умные псы - они все понимают, даже если пытаются убедить вас в обратном. Потому, команды они запоминают легко, понимают что вы от них хотите. Справедливость, терпение и доброта - вот что заставит собаку вас уважать и не только исполнять команды, но и прислушиваться к вам как к авторитету.","В отношении ухода за шерстью порода собак келпи достаточно неприхотлива, нуждается в еженедельном вычесывании и только. Некоторые особи имеют подшерсток и линяют. Обязательно следите за чистотой ушей, удаляйте отложения в глазах ежедневно, и купайте питомца один-два раза в неделю.","Порода собак келпи, в целом, имеет хорошее здоровье, но иногда могут встречаться следующие проблемы:
дисплазия тазобедренного сустава;
крипторхизм;
прогрессирующая атрофия сетчатки;
аномалия глаз колли;
абиотрофия мозжечка.",,
2,Австралийский терьер,"Australian Terrier, Aussie",Австралия,12-15 лет,"Кобели: 23-28 см
Суки:     23-28 см","Кобели: 7-8 кг
Суки:     6-7 кг",Средняя,"песочный, красный и голубой с подпалинами","охотничьи, сторожевые, декоративные, для квартиры",500 - 1300 $,4,7,2,7,9,10,5,1,"Австралийский терьер - порода родом из Австралии, как вы, наверное, догадались по названию. Однако, несмотря на то, что порода считается австралийской, произошла она от британских терьеров, которых завозили колонисты переселенцы. В процессе формирования породы, различные терьеры скрещивались между собой, пока не получился маленький, но очень забавный и во многом полезный компаньон.
В этом участвовали йоркширский, скай терьер, а также предшественник денди динмонт терьера и жесткошерстный терьер. Первые европейские поселенцы в Австралии жили в довольно суровых условиях, им приходилось все начинать буквально с нуля, в новом климате и в совершенно отличной от их собственной, окружающей среде. А потому, требования к собакам которые должны были делить с ними все невзгоды этой жизни, также, соответствовали.
Именно поэтому австралийский терьер хотя и очень невелик, но вынослив и бесстрашен, ведь от него требовалось не только быть сторожевым псом, который может предупредить об опасности. Он также выполнял функции охотника за грызунами и мелкими животными, и эти инстинкты в породе сильны до сих пор. Их использовали не только на фермах, но и на золотых приисках для ловли змей.
Что удивительно, не аусси (австралийская овчарка), а именно австралийский терьер, это первая местная порода, которая получила официальное признание в Австралии. Впервые их продемонстрировали в 1868 году в Мельбурне, как «австралийского терьера с длинной шерстью», а официально переименован в «австралийского терьера» он был в 1897 году.
В Англию этих собак впервые привезли работники дипломатической службы, в первой половине 20 века, а официальное признание Британского Кеннел Клуба австралийский терьер получил в 1933 году. Из Великобритании порода попала в США, примерно в 40-е годы, когда военнослужащие и военные журналисты во время Второй мировой привозили их с собой из Англии.
В 1960 году австралийский терьер стал 114-й породой, признанной Американским Кеннел Клубом, причём, за 21 год (с 1939), первой новой породой терьеров. Клуб австралийских терьеров Америки был основан в 1957 году и стал участником АКС в 1977 году.","Это небольшие, крепко сложённые собаки с кудрявой шерстью. Уши стоячие, морда с «бородкой», конечности короткие, но пропорциональные, хвост короткий. Окрас может быть песочный, красный и голубой с подпалинами.","Порода австралийский терьер имеет очень открытый и игривый характер, который делает жизнь окружающих интереснее – в этом сомневаться не стоит. Однако, настроение собаки напрямую связано с настроением хозяев, так как данная порода черезвычайным привязана к своим владельцам. То есть, привязана настолько, что перенимает душевное состояние любимых людей. Если вы радуетесь, собака будет радоваться вместе с вами, если же вам грустно, она разделит с вами грусть, мирно лёжа рядом на диване. И не будет доставать взбалмошным поведением в неподходящий момент - разве что изредка.
Австралийский терьер – порода, которая обожает игры, веселье, развлечения и вообще различные виды активности. На самом деле, активность не обязательно должна состоять из игр, ведь если вы живёте в частном доме, собака обязательно попробует охотиться на крыс, вырыть яму во дворе или раскопать кротовую нору, попытавшись даже добраться до ее хозяина. Так что идеальный газон или свежая грядка - всегда под угрозой.
Вообще, любые мелкие животные и даже кошки (а иногда - в особенности кошки), вызывают у австралийского терьера желание на них охотиться. Причём, если вы приучите собаку к наличию в доме кошки, то все остальные кошки – то есть соседские или бездомные, уличные, будут по-прежнему оставаться врагами. От тенденции охотиться на различных мелких животных можно отучить, но делать это нужно с самого раннего возраста.
Доминирующие черты характера делают собаку немного очень забавной, игривой и всегда готовой к развлечениям. Порода имеет некое подсознательное притяжение к инвалидам, пожилым людям и детям, что делает ее прекрасным компаньоном для данных групп людей. Однако, маленьким детям нужно быть осторожными, так как австралийский терьер имеет некоторую грань терпения, и если ребёнок за неё переступит, собака не будет терпеть. С другой стороны – для ребёнка, это прекрасный компаньон для игр и развлечений, лучший друг и верный спутник.
Австралийский терьер всегда жаждет принимать активное участие в повседневных делах своей семьи, и любит совать свой холодный маленький нос везде и всюду. Несмотря на то, что собака любит дурачиться, находиться в центре внимания и иногда даже вести себя откровенно глупо, тем не менее, интеллект у них довольно развитый, они прекрасно понимают человека и могут усвоить множество команд. Это делает их хорошими компаньонами для людей с ограниченными возможностями и пожилых людей.
Во время прогулок вам нужно быть настороже, так как питомец может попытаться атаковать собак большего размера, хотя, обычно атака продолжается до первого испуга.","Порода австралийский терьер нуждается в воспитании и обучение, а также в социализации. И они с удовольствием учат команды, однако, вам также нужно будет уделить внимание послушанию и командам отмены, так чтобы вы могли, например, заставить собаку замолчать в нужный момент, или же остановиться, когда она пытается лаять на крупного пса в парке или незнакомого человека.
В процессе дрессировки сохраняйте положительный настрой и используйте различные виды поощрения. Кроме того, вам не обойтись без чувства юмора и терпения. Порой, этим собакам нужна твердая рука лидера, но не в смысле грубости или побоев, а именно в смысле лидера и разумной строгости, когда это нужно.
Вам нужно стараться делать занятия максимально активными и весёлыми, так как данная порода может быстро заскучать. Кроме того, необходимо постоянно привносить что-нибудь новое, опять же, по причине того, что иначе занятия быстро надоедают. Однообразие в данном случае будет худший идеей. Переутомлять австралийского терьера не стоит, как и заставлять тренироваться. Если вы видите что собака устала, продлите занятие ещё на пять, максимум 10 минут, не более.","Австралийский терьер нуждается в вычесывания шерсти примерно 2 раза в неделю, купать собаку нужно минимум 1 раз в неделю или чаще. Когти подрезают 3 раза в месяц, уши чистят 3 раза в неделю, глаза очищают ежедневно.","Как и другие породы собак, австралийский терьер имеет склонность к некоторым заболеваниям, хотя их совсем немного:
коленный вывих;
болезнь легг пертеса;
сахарный диабет;
аллергия.",,
3,Австралийский хилер,"Australian Cattle Dog, ACD, Cattle Dog, Blue Heeler, Red Heeler",Австралия,13-15 лет,"Кобели: 46-51 см
Суки:     43-48 см","Кобели: 15-16 кг
Суки:     14-16 кг",Средняя,"голубой, голубой с чёрными или коричневыми пятнами","для детей, для защиты, сторожевые",500 - 900 $,6,10,5,10,6,10,8,9,"Порода австралийский хилер была выведена в Австралии, что следует из названия, в период заселения этих областей англичанами. Людям нужна была крепкая, выносливая и умная собака с крупным, мускулистым телосложением, которая могла бы выносить все невзгоды на новом месте и служить надежной опорой в различных начинаниях. А начинаний, как вы сами понимаете, было немало.
Этих собак называют по-разному - австралийский хилер, квинсленд хилер (из-за огромной популярности среди фермеров в районе Квинсленда в Австралии), блю хилер или холлс хилер. Официально, однако, он австралийская пастушья собака (для крупного рогатого скота). А прозвище ""хилер"" произошло потому, что собак выращивали в стаде крупного рогатого скота, и они пасли скотину кусая ее за нижнюю часть ног.
Австралийский хилер сегодня является результатом многих лет селекций и скрещиваний, которые начались в 1893 году, а уже в 1897 Роберт Калески показал первые результаты своих трудов общественности. Роберт Калески разработал первый стандарт, основываясь на аборигенных динго, справедливо полагая, что эти животные естественным образом подходят для австралийских диких условий.
Причём, собаки, которых брали с собой первые поселенцы из Англии (например, терьеры), для климата и полудикой жизни в Австралии подходили слабо, и все они в дальнейшем скрещивались и совершенствовались с целью получения более совершенных пород.
Австралийский хилер и сегодня очень напоминает собаку динго, хотя и имеет другой окрас шерсти. Он получил право на показ в Рабочей группе с сентября 1980 года. Порода перешла в стадную группу в январе 1983 года. Клуб собаководства в Новом Южном Уэльсе дал своё одобрение на стандарт породы в 1903 году.","Это крупные собаки, с широкой, мощной грудью и мускулистым телосложением. Морда квадратная, уши стоячие. Конечности средней длины, пропорциональные и мускулистые, хвост средний, шерсть длинная. Окрас может быть голубой, голубой с чёрными или коричневыми пятнами.","Порода австралийский хилер имеет несколько упрямый, самостоятельный, но в тоже время очень открытый и дружелюбный для хозяев характер. Это очень умные собаки, которые всегда делают собственные выводы, прекрасно понимают человека и отличаются отличной находчивостью. Кроме того, они чрезвычайно выносливы, и могут жить в самом разнообразном климате и вообще в самых разнообразных условиях, не испытывая никакого внутреннего дискомфорта.
Выносливость также отражается и на отношении к боли – изначально, собак тренировали и разводили таким образом, чтобы они могли выполнять поставленные задачи даже несмотря на физические повреждения, укусы, ушибы и т.д.
Австралийский хиллер развивался в тесной контакте с человеком, и по сей день порода сохраняет это важное качество. Собака чрезвычайно привязывается к своему хозяину, и готова следовать за ним куда угодно, хоть на край света, причём, неважно, где этот край будет находиться – на северном полюсе или в жарких пустынях Африки. Собака выживет везде, и поможет выжить хозяину.
Естественно, охотничьи инстинкты также чрезвычайно сильные, и все мелкие животные, в том числе и мелкие собаки, кошки, белки, любые грызуны, являются потенциальной добычей. Однако, их можно приучить жить вместе с кошкой, если делать это с раннего возраста, но учтите - все остальные кошки, кроме дружественной, домашней, будут по-прежнему оставаться добычей. А вот хомяки, морские свинки, попугаи - здесь можно даже не пытаться, так как хилер в принципе не может их воспринимать иначе нежели как добычу.
Австралийская пастушья собака прекрасно справляется с функциями сторожа, и ответственно, самоотверженно охраняет свою территорию от любых посягательств, будь то человек или бродячий пёс. Точно также дело обстоит и с защитой хозяев. Австралийский хилер имеет очень высокий уровень энергии, и не понимает как можно целый день проводить лёжа на диване – а если бы даже ему пришлось так поступить, это бы ему точно не понравилось.
Зато, если нужно будет отправиться в поход, преодолевая десятки километров пути, или выполнять любую порученную работу, помогая хозяину во всём, в этом случае собака будет счастлива. Безделье, отсутствие активности и полезных функций, вызывают у данной породы тоску и грусть, из-за чего характер может становиться разрушительным. Тогда, первое что пострадает – это ваша мебель, дверные косяки, шторы, обувь и т.д.
Детей воспринимают хорошо, но чувствуют свою ответственность за них, как за стадо, ведь это пастушья собака, а потому иногда они могут попытаться загнать их в детскую, и даже легонько покусывать за пятки. Но от этого можно отучить. Кстати, инстинкт кусать вообще довольно силён у этих собак, а потому вас всегда должны быть игрушки, так как крайне важно направить этот инстинкт в правильное русло, ведь отучать от подобного собаку смысла не имеет. Скорее всего, у вас просто ничего не получится, так как для животного это настолько же естественно, насколько ходить, бегать и т.д.
Незнакомцев воспринимают нейтрально, если те не являются нарушителями территории или не проявляют агрессии по отношению к собаке или хозяевам. Кстати, если вы живёте в частном секторе, лучше иметь забор с бетонным фундаментом, так как хилер вполне может сделать подкоп и отправиться в небольшое путешествие. Причём, найти его можно будет также на ближайшей мусорке - желание копаться в мусоре, самостоятельно добывать еду и путешествовать, присуще этим собакам.","Упрямство и желание поступать по-своему – отличительная черта породы, хотя, с этим вполне можно работать. Если собака признает в вас лидера, любит вас, она будет слушаться. Соответственно, вам необходимо в первую очередь поставить себя в роли лидера, а также обучить животное базовым командам и добиться их неукоснительного выполнения даже при наличии отвлекающих факторов. Причём, в данном случае, отвлекающими факторами могут являться не только посторонние звуки и запахи, но и просто - солнечный день, в который пёс хочет окунуться со всеми вытекающими приключениями.
Вам нужно проводить дрессировку последовательно, активно, разнообразно и быть терпеливым, добрым, очень положительным и когда это нужно, строгим хозяином. Если пёс провинился – игрушку он не получает. А если и получает, вкусняшку или игрушку, то только после того как выполнит команду, например «сидеть» или «лежать».","Собака породы австралийский хилер нуждается в вычесывании шерсти примерно два раза в неделю. Стрижка шерсти не требуется. Купать питомца нужно один раз в неделю или чаще. Уши нужно очищать два–три раза в неделю, глаза – ежедневно, или по необходимости. Когти подрезают три раза в месяц.","Австралийский хилер имеет склонность к некоторым заболеванием, хотя в целом отличается очень крепким здоровьем.
дисплазия тазобедренного сустава;
дисплазия локтевого сустава;
гипотиреоз;
тромбопатия;
болезнь фон Виллебранда;
прогрессирующая атрофия сетчатки;
глухота - это наследственное заболевание у австралийского хилера, но ее можно проверить у щенков. Глухота связана с белым цветом шерсти.",,
